repo,sha,message,date,keyword_match,file_match,llm_label,llm_reason
firecrawl/firecrawl,ad23ab55d4a36ce8227f9246788dfa302b50c0c3,"feat(sdks): wire through search enterprise parameter (#3919)

Expose the `enterprise` search option across the JS, Python, Ruby, and
.NET SDKs so callers can select enterprise search modes (e.g. [""zdr""] or
[""anon""]) on /v2/search.

- js: add `enterprise` to SearchRequest and forward it in the payloa",2026-06-30T02:59:57Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,81215679d69ae6f48f1e4eff11bd8a5087923a69,"feat(pdf): report totalPages for truncated PDF scrapes (#3913)

Co-authored-by: firecrawl-spring[bot] <254786068+firecrawl-spring[bot]@users.noreply.github.com>
Co-authored-by: micahstairs <micah@sideguide.dev>",2026-06-29T18:45:05Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,b4620ad6f43f14d5a28ab8ba2ce219977eda94f3,Move cclog into a worker (#3884),2026-06-26T13:37:59Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,ada260dbeb81c658890fd9f8e5c7084eb2c12837,"chore: api and scrape fixes (#3885)

* chore(api): make knip typescript5 shim work on windows

* fix(api): scope batch-scrape appendToId to the requesting team

* fix(api): scope deep-research and llmstxt status to the requesting team

* fix(api): only mount admin routes when BULL_AUTH_KEY is set

*",2026-06-25T21:07:15Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,0aafb280f4daa10a4d5b0fa2b813165a3b0ddfa5,"fix(js-sdk): add webhook option to startExtract and extract methods (#3318)

* fix(js-sdk): add webhook option to startExtract and extract methods

The startExtract and extract methods in the v2 JS SDK did not accept
webhook configuration, despite the API supporting it and other async
methods (crawl",2026-06-25T11:46:17Z,False,True,No,"backend/infra signal 'webhook', no UI terms"
firecrawl/firecrawl,82b54a228594cc04846742b171e51f4f72445b25,"chore(api): remove x402 micropayment integration (#3873)

Co-authored-by: micahstairs <micah@sideguide.dev>",2026-06-25T11:23:31Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,053630fc5203df91b707a6a523e33db5896a1ee8,fix(extract): replace json-schema-ref-parser with internal-only $ref resolver,2026-06-24T18:09:50Z,False,True,No,"backend/infra signal 'schema', no UI terms"
firecrawl/firecrawl,f01827df295893cc41e5a0971bbc262728ce84ef,fix(api): avoid shelling out for change tracking diffs,2026-06-24T17:29:50Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,d86b2a91b5715ca8b59f068322449d6b7e20533f,"fix(monitor): judgeEnabled actually gates the LLM judge (off = raw results, no LLM/credits)

The judge_enabled flag was never passed into runSearchTarget; the LLM
stages were gated only by depth (default ""deep""), so a search monitor with
judgeEnabled=false still ran the full LLM judge and billed LLM",2026-06-19T01:36:38Z,True,True,Yes,matched pipeline keyword condition
firecrawl/firecrawl,46616acc0257a3b16613f8ea1fc039ca7f6a65da,build(api): upgrade to TypeScript 7 RC (#3861),2026-06-23T09:06:03Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,a8cb02576942008aa8f9e2cac9d365a7440a95ab,feat(api): port to Express 5 (#3860),2026-06-23T08:26:35Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,4048aed5c3c2af21d6bb93a1a17658e8adc2f410,"chore(api): bump autumn-js 1.2.13 -> 1.2.30 (#3851)

Note: 1.2.30 declares an express@^5 peer; the API is on express 4, but
only the unused express adapter is affected — the backend SDK client we
use is unaffected.

Co-authored-by: firecrawl-spring[bot] <254786068+firecrawl-spring[bot]@users.noreply",2026-06-22T15:31:18Z,False,True,No,"backend/infra signal 'backend', no UI terms"
firecrawl/firecrawl,8a4964e09ab09d08f3f89553e16dc901edf47af1,fix(api): build FoundationDB native binding (#3841),2026-06-21T19:55:16Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,0c3eed8a190ba8d2fe66c673543b2c271f533741,"fix(security): resolve pnpm audit failures (#3837)

Co-authored-by: Cursor Agent <cursoragent@cursor.com>
Co-authored-by: Abimael Martell <abimaelmartell@users.noreply.github.com>",2026-06-21T01:19:42Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,6840ee516f6033792ecd2f7f3c82459210d34a91,"feat: add `menu` scrape format (engine client + 9 SDKs, menuBeta-gated) (#3831)

Co-authored-by: Claude Opus 4.8 (1M context) <noreply@anthropic.com>",2026-06-19T15:45:21Z,False,True,Yes,UI signal 'menu' in message
firecrawl/firecrawl,53c2473aa18cf22b44de6939fd5b86cf25868f1a,"feat: patch node-fetch, gcs bug (#3825)",2026-06-18T17:28:12Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,9ce983cfa5bad352ad21d8d37fab86d1ee19516c,"Revert ""fix(security): resolve pnpm audit failures (#3822)""

This reverts commit 1663fa5091814199099443367846acab7962b48d.",2026-06-18T15:59:20Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,1663fa5091814199099443367846acab7962b48d,"fix(security): resolve pnpm audit failures (#3822)

Co-authored-by: Cursor Agent <cursoragent@cursor.com>
Co-authored-by: Abimael Martell <abimaelmartell@users.noreply.github.com>",2026-06-18T15:31:12Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,df88fb6d5e6a328b1f8c05fcb341b78fe581dfc7,"Feat/product service client (#3818)

* feat(api): add ProductProfile type for structured product extraction

* feat(api): add product field + register product format (v1 + v2)

* feat(api): extractProducts primitive with JSON-LD source

Co-Authored-By: Claude Opus 4.8 (1M context) <noreply@anthropic",2026-06-17T17:32:30Z,False,True,Yes,matched UI file-type condition
firecrawl/firecrawl,1f00cc788ee7626610caf2e33224ad39f8216725,"feat(interact): return cdpUrl in the scrape interact response (#3806)

Co-authored-by: Claude Opus 4.8 (1M context) <noreply@anthropic.com>",2026-06-16T21:05:46Z,False,True,Yes,matched UI file-type condition
